Matching used offerings for items:
  0201544350: Object Oriented Software Engineering: A Use Case Driven Approach (Paperback) 
  0933149530: Communication Skills in Children With Down Syndrome: A Guide for Parents (Topics in Down Syndrome) (Paperback) 
  0321503627: Growing Object-Oriented Software, Guided by Tests (Paperback) 
  0321721330: Practical Object-Oriented Design in Ruby: An Agile Primer (Addison-Wesley Professional Ruby Series) (Paperback) 
  0321603508: Refactoring: Ruby Edition (Hardcover) 
  0321146530: Test Driven Development: By Example (Paperback) 
  013476904X: Smalltalk Best Practice Patterns (Paperback) 
  0321490452: Design Patterns in Ruby (Hardcover) 
Sellers:,0201544350,0933149530,0321503627,0321721330,0321603508,0321146530,013476904X,0321490452
"""link business""",,,,,,,$39.99,
A teambooks,$1.50,,,,,,,
Abvi goodwill books,,,,,,$17.06,,
Agrios,,,$70.35,$60.92,,,,
Allnewbooks,,,$43.29,$31.76,$39.44,,$53.73,$43.29
Amerzel's goods,,,,,,,$50.00,
Amitcj,,,,,$38.00,,,$42.58
Atlanta book company,,$0.01,,,,,,
Azbooknook,,,,,$28.00,,,
Bay city books,,,,,,,$39.40,
Betterworldbooks,$0.01,$0.01,,,,,,
Black barts books,$0.99,,,,,,,
Blue cloud books,$0.68,,,,,,,
Bookbyte123,,,$41.20,,,$17.00,,
Books squared,$0.68,,,,,,,
Bordeebook,,,$49.95,,$33.97,$23.37,$50.68,$36.47
Bothhandsbooks,,,,,$35.78,,,
Brookebooks,,,$74.60,,,,,
Buy am,,,,,,$20.60,,
Dailydeal usa,$1.87,$1.98,,,$33.83,$20.58,$45.00,
Dandylionbooks,,,,,,,$45.88,
Fantastic shopping,,,$41.90,$30.95,$38.09,,,$41.90
Fast   track,,,$70.45,,,,,
Fort bend books,,,,,,,$40.88,
Gladjoe2,,$2.00,,,,,,
Goodwill bookworks,,,,,$25.99,,,
Goodwill of silicon valley,$1.99,,,,,,,
Goodwillbooks,,,,,,$16.58,,
Gr8lakesbooks1,$0.75,,,,,,,
Green earth books,$0.68,$0.01,,,,,,
Hpb 027,,,,,,$17.99,,
Hpb 040,,,,$25.52,,,,
Hpb 079,,,,,,,,$25.81
Hpb 104,,,,,,$22.49,,
Hpb 108,,,,,,,$38.11,
Hpb 109,,,,,,$17.99,,
Hpb 114,,,,,,$20.99,,
Hpb dallas,,,,,,,,$26.83
Hpb outlet,$0.01,,,,,,$36.85,
Hpb wisconsin,,,$37.32,,,,,
Internationalbooks,$0.01,,,,,,,
Jenson online inc,,$4.00,,,,,,
Mamancita123,,$2.00,,,,,,
Massbookstore,$1.25,,,,,,,
Mckenziebooks,,,,,,$16.62,,
Moviemars books,,,$70.34,$60.91,,,,
New and used news and books,,$0.01,,,,,,
Norstat,,$2.95,,,,,,
Oncesoldtales,$1.89,,,,,,,
Pamaxs,,,$62.03,,,,,
Powells books,,,,,,,,$27.50
Primetime fulfillment,,,,,,$28.00,,
Purple whale 123,$0.01,,,,,,,
Quality7,,,,,$33.85,$20.75,$45.02,$34.53
Quick n easy marketplace,,,$47.25,$33.70,$45.33,,,$47.23
Sierra nevada books,,$0.01,,,,,,
Striking images,,$2.00,,,,,,
Superbookdeals,,,$40.05,,$36.57,,$51.53,$39.79
Tabletopart,,,,,$55.55,,,
Thrift books,,$0.01,,,,,,
Trinity city books,,$0.01,,,,,,
Tscbooks,,,$55.36,,$43.31,,,$42.81
Valley of the sun books,,$0.35,,,,,,
Woodys books,,,$55.30,$60.88,$37.99,,$53.91,$44.21
Worldofbooksusa,,,,,,$16.57,,
Yankee clipper books,$0.68,$0.01,,,,,,
greatbookdeals,,,$41.90,$30.95,$38.09,,$56.65,$41.90
hidden,,,,,,$27.86,$42.10,$30.15
superbookdeals,,,,$28.84,,,,
textbooksrus,,,,,,,,$34.34
